T2022_01_03__124145_404,user,1,/home/jun/Github/JunBot/Marvelmind/doc/marvelmind_SW/marvelmind_SW_2021_10_31/Dashboard/linux/x86/maps/map_2022_01_03__1241.ini
T2022_01_03__124145_404,user,1,/home/jun/Github/JunBot/Marvelmind/doc/marvelmind_SW/marvelmind_SW_2021_10_31/Dashboard/linux/x86/maps/map_2022_01_03__1241.ini
T2022_01_03__124145_404,user,1,/home/jun/Github/JunBot/Marvelmind/doc/marvelmind_SW/marvelmind_SW_2021_10_31/Dashboard/linux/x86/maps/map_2022_01_03__1241.ini
T2022_01_03__124148_533,user,1,/home/jun/Github/JunBot/Marvelmind/doc/marvelmind_SW/marvelmind_SW_2021_10_31/Dashboard/linux/x86/maps/map_2022_01_03__1241.ini
T2022_01_03__124246_288,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124253_174,user,1,/home/jun/Github/JunBot/Marvelmind/doc/marvelmind_SW/marvelmind_SW_2021_10_31/Dashboard/linux/x86/maps/map_2022_01_03__1242.ini
T2022_01_03__124256_379,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124257_990,user,1,/home/jun/Github/JunBot/Marvelmind/doc/marvelmind_SW/marvelmind_SW_2021_10_31/Dashboard/linux/x86/maps/map_2022_01_03__1242.ini
T2022_01_03__124306_479,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124309_754,user,1,/home/jun/Github/JunBot/Marvelmind/doc/marvelmind_SW/marvelmind_SW_2021_10_31/Dashboard/linux/x86/maps/map_2022_01_03__1243.ini
T2022_01_03__124316_579,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124326_679,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124336_779,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124346_879,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124356_979,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124407_079,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124417_179,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124427_279,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124437_379,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124447_479,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124457_579,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124507_679,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124517_779,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124527_879,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124537_979,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124548_079,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124558_179,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124608_279,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124618_379,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124628_479,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124638_579,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124648_679,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124658_779,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124708_879,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124718_979,user,41,18,76,0.000,0.000,0.000,0
T2022_01_03__124729_079,user,41,18,76,0.000,0.000,0.000,0
